total_confirmed,total_deaths,total_recoveries,total_active
557,17,30,510
657,18,32,607
944,26,39,879
1437,42,42,1353
2120,56,56,2008
2929,82,65,2782
5580,131,108,5341
6169,133,127,5909
8237,172,145,7920
9927,214,225,9488
12038,260,287,11491
16787,364,476,15947
19887,428,627,18832
23899,494,857,22548
27644,566,1130,25948
30806,636,1493,28677
34400,721,2016,31663
37131,808,2617,33706
40162,908,3247,36007
42771,1015,3949,37807
44814,1115,4684,39015
45232,1120,5151,38961
60384,1373,6294,52717
66912,1525,8061,57326
69055,1668,9397,57990
71238,1772,10867,58599
73273,1870,12587,58816
75155,2010,14352,58793
75655,2125,16123,57407
76216,2250,18181,55785
76846,2254,18894,55698
78608,2462,22892,53254
78990,2473,23397,53120
79558,2633,25229,51696
80412,2713,27907,49792
81384,2774,30388,48222
82728,2817,33282,46629
84152,2876,36714,44562
86023,2946,39785,43292
88402,3000,42721,42681
90382,3090,45605,41687
92994,3164,48227,41603
95338,3260,51170,40908
98078,3355,53796,40927
102062,3469,55864,42729
106199,3573,58358,44268
109997,3815,60695,45487
114292,4009,62495,47788
119051,4284,64402,50365
126527,4636,66999,54892
133283,4957,68328,59998
146477,5460,70255,70762
157365,5886,72622,78857
168598,6557,76031,86010
183165,7268,78086,97811
198339,8119,80830,109390
215900,9075,83317,123508
242987,10217,84958,147812
272517,11791,87403,173323
304944,13599,91650,199695
339156,15427,97867,225862
381711,17523,98355,265833
423594,19949,107974,295671
475075,22920,113753,338402
535889,26173,122125,387591
599820,29812,130910,439098
669402,33861,139421,496120
725918,37680,148877,539361
790929,42050,164213,584666
869371,47218,177803,644350
955728,53862,193075,708791
1038176,60115,210218,767843
1122386,66617,225640,830129
1182507,72976,246052,863479
1254222,78897,259888,915437
1328948,85324,276597,967027
1397886,93841,299859,1004186
1480062,101061,328741,1050260
1567243,109216,353995,1104032
1653665,116957,375733,1160975
1729180,123939,401983,1203258
1847761,130453,421366,1295942
1919593,136966,448623,1334004
2004226,144323,473697,1386206
2082482,153088,510236,1419158
2176950,160800,541119,1475031
2264830,169688,567303,1527839
2343082,176118,591169,1575795
2419404,182219,622952,1614233
2495886,188730,645130,1662026
2571973,195926,679932,1696115
2654011,203205,710017,1740789
2736728,210475,738747,1787506
2820291,217313,788776,1814202
2903496,223363,816531,1863602
2974291,228179,845343,1900769
3045275,233624,873227,1938424
3121107,240253,906439,1974415
3198435,247233,948516,2002686
3282087,253486,1013632,2014969
3371033,259073,1051789,2060171
3449295,265119,1092440,2091736
3523292,269394,1124973,2128925
3600929,274239,1159059,2167631
3680614,280386,1195532,2204696
3771036,287146,1241651,2242239
3860174,293012,1281176,2285986
3950657,298967,1317589,2334101
4035000,303885,1371030,2360085
4110223,308223,1404839,2397161
4186364,312301,1451724,2422339
4271644,318031,1488766,2464847
4355992,323468,1544638,2487886
4451634,329217,1584349,2538068
4547536,334970,1632452,2580114
4641426,339511,1688863,2613052
4719789,343391,1729871,2646527
4808921,347786,1782787,2678348
4904739,352754,1834839,2717146
5010162,358160,1893809,2758193
5116135,363195,1945029,2807911
5223477,368901,2053576,2801000
5327627,373355,2108410,2845862
5420843,376755,2163937,2880151
5509066,378449,2227666,2902951
5601428,383229,2282818,2935381
5703984,388449,2346145,2969390
5823977,393440,2413008,3017529
5945413,398596,2490273,3056544
6080456,402955,2560723,3116778
6183316,406242,2637107,3139967
6283580,409983,2692032,3181565
6406221,415254,2796144,3194823
6517437,420875,2875235,3221327
6655667,426403,2945305,3283959
6789073,431460,3014470,3343143
6918403,435600,3086674,3396129
7029415,438857,3141783,3448775
7132463,443312,3293394,3395757
7258445,448357,3375664,3434424
7395607,453783,3454835,3486989
7531793,458920,3540714,3532159
7659267,463663,3620434,3575170
7793175,468056,3706326,3618793
